restaurant,review,origin
Papa Chops Eatery,Came here for the onion rings and they were overcooked. Not bad for a fast food establishment.,real
Papa Chops Eatery,"Such an unsuspecting spot. The place is relative open where the tables are not crowded, but I opted to sit outside at the picnic table. The staff is friendly and helpful with suggestions as I often debate over a special vs something always on the menu. Either way I had it in my head that I wanted a wrap and decided on the grilled chicken Caesar wrap with the recommended onion rings. Everything was so good, especially those onion rings with the sauce. Might be one of the best onion rings. The breading was crispy and flavorful. Unbelievable that it's a gluten free spot. I will definitely stop in again.",real
Papa Chops Eatery,Grilled chicken Caesar's Wrap and Small O-rings,real
Papa Chops Eatery,Inside,real
Papa Chops Eatery,"Hello Lovelies. Got another review for you. My friend recommended me this place because we both have a gluten- free allergy. Papa Chops, is the place to try so many foods that we gluten free people can't have. For example I haven't had fish and chips in a long time. Guess what? They have it. Haven't had a good wrap? They have it. Check out their menu it is amazing. The fish and chips dipping sauce and tartar sauce was dairy free too. The service? So great, very homey and friendly as well as their ambiance. It's like a warm meal without the worries of allergies! And even if you don't have food restrictions the flavor is so good either way. So come on over to Papa Chops and enjoys (P.S. I did forget to take a picture because I was so excited to try the food. Oh well, guess I'll have to come back next  time to take more pictures for you guys.)",real
Papa Chops Eatery,"Got here at 10 minutes before close and was informed that they wouldn't take my order.  This was extremely disappointing as I live a half hour away, so I won't be venturing back again.",real
Papa Chops Eatery,Nashville Chicken Bull Rider Burger w/ Fries Onion O-Rings Mozzarella Sticks,real
Papa Chops Eatery,Mozzarella Sticks,real
Papa Chops Eatery,Business owner information,real
Papa Chops Eatery,Aaron M.,real
Papa Chops Eatery,Business Owner,real
Papa Chops Eatery,"Sep 30, 2023",real
Papa Chops Eatery,"M.R., thank you for taking time to review us.  I really appreciate the honesty.  It's called Papa Chops because that's the nickname my children gave me when I started cooking again and they saw joy.  Went to our local school, CC Culinary program. First thing they had me do was chop vegetables, so I came home and did that all the time.  So the kids nicknamed me Papa Chops...",real
Papa Chops Eatery,Read more,real
Papa Chops Eatery,"Admittedly, this restaurant has come up as recommended for quite some time but I avoided it because the name (completely judgmental on my part) but last weekend we decided to try and we loved it!
The restaurant sits in a small strip mall but makes great use of the outside space by offering picnic tables by the woods.  All of the workers we dealt with were very kind and attentive, and more importantly the food was all gluten free and DELICIOUS!  
We ordered the Nashville hot chicken which was juicy and crispy and nicely seasoned.  The pickles were also fantastically crunchy and offered a nice crunch and the sauce was well portioned so it didn't overtake the bun or the meat.  The gluten free bun was fantastic (though just the bottom of the bun was weird crispy/spongy BUT for a gluten free bun it's the best I have had for a while.
We also had the Bull Rider burger which was juicy, well cooked and the BBQ sauce was smoky sweet.
Then we tried the onion rings (so crispy and seasoned well), the French fries (fantastic) and the mozzarella sticks which we both wanted to live in - honestly they had the perfect cheese pull and the marinara sauce and seasoned crust were fantastic.
The only con is that we don't live closer so we can go every day!",real
Papa Chops Eatery,My wife was looking forward to this place as she has gluten issues. Overall we were not impressed. Very expensive for what you get. Bluegill order serves only a few small pieces. Chicken sandwiches were both tough and stringy. Not good at all. One plus though was the onion rings as those were really good. Unfortunately this place is definitely not worth the cost. I'd possibly have gone 1 star if the onion rings weren't good.,real
Papa Chops Eatery,"Celiac Foodie:

Wow! Great restaurant!
Owner is Celiac and has created a great 'safe' dining experience for Celiacs!

I ordered the Chicken Sandwich, breaded and so crispy! Seasoned perfect and crunchy! Speaking of crunchy- ONION RINGS are so delicious, perfect amount of coating with a Spicy Dipping Sauce. I haven't had Onion Rings in years and these are very good. 
Also tried the Mac and cheese with Pulled BBQ Pork on top- so good, just enough cheese and so creamy. Must try! 
The noodles are cooked perfectly and tasted really good. 
Run here- gotta try it!

New business, hours fluctuate slightly due to staffing so check that out before you stop in the evening.

Seating is Cafe Style. 
Food is bagged to go.
Paper plates, condiments and silverware provided if you want to dine in.

No illness after consuming food.

Happy Dining!",real
Papa Chops Eatery,Chicken Sandwich and small onion ring,real
Papa Chops Eatery,Mac and Cheese with BBQ Pulled Pork,real
Papa Chops Eatery,"How awesome to have a sport that offers exclusively gluten free food!! My mom has celiacs so she was so excited to try this place and that she could eat anything on the menu that she wanted! When you walk in, you order at the counter and then get your fountain drink, before seating yourself in the seating area to the left. There were both tables and booths available. I liked that there was lots of space for my toddler to comfortably run around while we waited for our food. I would consider this a family friendly restaurant due to the crayons & coloring pages available, space for all the kids to run around in the dining area, changing table available in the bathroom, and 2 high chairs available as well. Food is brought to your table in a brown paper bag, and you can grab paper plates and silverware from the counter if you desire. There were also picnic tables available outside. Only downside is the dining area was fairly warm with no airflow, but other than that, we had a great experience!",real
Papa Chops Eatery,See all photos from Kassey T. for Papa Chops Eatery,real
Papa Chops Eatery,"I ordered one of their chicken wraps, fries, and a cookie from their fridge. With a 15% tip that came to $23.33, a bit spendy for a quick meal. But honestly it wasn't that quick. i didn't have a stopwatch going, but it just seemed to take a while. Also the handoff was weird. Instead of giving me a number and delivering the food, they called out my name, but I was already seated--I don't know, just seemed strange. I will say, the food itself was very tasty, especially the fries.",real
Papa Chops Eatery,"I ordered food at the counter for me, my husband and 10-year old daughter. When the food was ready, we were missing one of the 3 main courses and one side. They were very gracious to prepare the missing items. After another 15 minute wait, I received the exact same items. At that point, hands in the air about the missing items. I'd had enough and was tired after a long days' work. We just moved to the area, but have no plans to return.",real
Nagoya,"Had to slap myself when I saw the lunch special deal. Best bang for you buck at any sushi place possibly ever. 17.99 all you can eat appetizers, sushi, fried rice, dessert, AND it comes with a drink?!?! 

Insane. And it's was so good. I hope they stay open forever.",real
Nagoya,"Nagoya is located off 28th Street. They are open on Sunday evening until 9:00. The restaurant is clean, with a very casual atmosphere. 
Getting a table as a walk in was easy. It was about a 15 minute wait to get a server to the table.  Food came out quickly, was fresh and delicious. 
They serve a variety of food items from their menus. They also offer an all you can eat menu for $29.95. 

There seems to be only two servers working the dining area, resulting in slower service.",real
Nagoya,"I was in GR yesterday and searched for AYCE sushi, and this was the top of the list in the area, so I took a leap. It was about 6 pm, so I was happy to get a table for 1. The menu was pretty decent, and for $29, I was excited. The waitress was excellent and helped me to get some quick appetizers and a beverage within 5 minutes of sitting down. I had all three apps from the menu along with a salad, followed by a nice sampling of sashimi and then 3 rolls and a little ice cream. Not a thing ordered disappointed me! 

The sashimi was cut nice and thick and was presented nicely. Each app was flavorful and different than the other, so I was happy to taste each of them. The mango was freshly cut and diced too, which was excellent. 

The three rolls I got were packed full of flavor, and my favorite was the Hellfire, followed by the Crunchy Crab. I wish I had room for more because there were so many to choose from. 

In the end, I will definitely be back again soon and hope the next experience will be even better!",real
Nagoya,See all photos from Matt H. for Nagoya,real
Nagoya,"I craved sushi for my birthday, but we didn't have time to dine out. So, I ordered takeout instead. I'd been wanting to try this restaurant, and I'm glad we did. My husband and I picked up the order. The sushi was amazing! Even my husband loved it. Prices were reasonable, and everything was neatly packed. The staff was friendly. Our first experience was great! We'll definitely dine in next time.",real
Nagoya,"Nice food nice services.pretty good quality as a buffet. Sushi is super good!
Ice cream is my favorite.",real
Nagoya,"Actually pretty yummy for the price. Got a ton of different rolls that I can't remember the names of and I enjoyed them all! Sauces were all fantastic and had that classic umami flavor. I particularly liked the rolls with fresh fish on top (no fishy flavor!) and the fried rolls. The fried rolls had a nice crunch to them and worked well with all the sauces/toppings. The unlimited lunch special is definitely the best value.

Appetizers were pretty small and underwhelming but good for the price. I'd recommend sticking to the fancier rolls if you decide to come here.

Service was fine, nothing over the top. Inside was tad bit dirty and the menus were really greasy which was off-putting. But the art and interior design was beautiful. I loved how I could see the sushi counter where they made all the rolls.",real
Nagoya,"Coming here for all you can eat lunch is one of the best decision I have ever been apart of, if you leave hungry it is completely your fault. They feed you well and fast it's awesome",real
Nagoya,The all you can eat sushi dinner menu has something for everyone. There are so many choices and it allows you to try many options.  Very reasonably priced!,real
Nagoya,I've been here twice now and it's my favorite sushi place in Grand Rapids. Everything is super good and very reasonable priced. And amazing service!,real
Nagoya,"Great sushi spot! I love the ""all you can eat"" sushi menu. I love gyoza and they have great rice. The sushi...is great! I always try a different roll but my favorite is crunchy crab roll and the bagel roll. They are delicious! The service is always good; very fast! Great quiet vibe and feel. Sometimes it's busy, other times it's quiet; but the food is always great! Highly recommend! Will definitely be back!",real
Nagoya,Menu,real
The Stray,nan,real
Haludam,"Everything was delicious and authentically made. There aren't many options around for good, authentic Korean food, so we (a Korean family) were extremely excited about Haludam opening. It did not disappoint. The service was amazing and the staff were all so friendly and kind! The interior is nice, clean, and well decorated. Highly recommend!",real
Haludam,See all photos from Cassidy H. for Haludam,real
Haludam,"Grand Rapids finally has a traditional Korean food restaurant that's an actual sit down restaurant! It's nice that it just focuses on traditional Korean food and doesn't try and cover BBQ/fried chicken/etc. 

Many delicious options to choose from and we loved the bulgogi, dolsot bibimbap and the tofu stew. Banchan (the little Korean side dishes) came out with the meal and were delicious. Tofu stew is my favorite traditional Korean dish and while I wish they had more flavors besides seafood or the kimchi with the pork (prefer non kimchi) - this will do and still tastes great. 

Inside is clean and spacious. Very family friendly - They have high chairs, booster seats and women's bathroom has a changing table. Kids water cups too! 

Servers were very kind and helpful. 

While this isn't California/Atlanta, this is the best Grand Rapids has to offer for traditional Korean food and we will definitely be back.",real
Haludam,"We went to try out the soft opening of Haludam and were really impressed! I didn't expect much from the exterior, but the interior is absolutely stunning. The staff was incredibly kind and prompt without being overbearing. They had great recommendations and told us about how busy they've been during the soft open. 

The food itself was incredible. We got the spicy tofu stew with seafood and seolleongtang. Both were really good sized portions with great banchan. The tofu soup was really well flavored and was loaded with seafood and tofu. The seolleongtang had a really clean and refreshing broth that went well with the kimchi. 

Overall we really loved our experience and can't wait to come back after they officially open!",real
Haludam,See all photos from Mae A. for Haludam,real
Haludam,"Ready for some authentic Korean fresh made from scratch yes, please food was delicious. Staff was friendly.
Good menu selections we had short ribs and the hot stone bibimbap, as well as the dumpling and kimchi appetizer all were fantastic",real
Haludam,"I'm very excited that there's another korean restaurant in town! I stopped by with a friend for the last day of their soft opening and it was packed! (rightfully so) The ambiance is great and honestly with all of the restaurant seating taken up, it was not loud at all. The workers and owners were very kind and very attentive. Additionally the food came out very quick, considering that they mentioned they have been struggling with keeping up with getting orders out. I myself ordered the hot stone bibimbap, some of the menu options were out of stock from the previous soft opening days. The food was great and came with 3 different side dishes. The only thing that docked some points for me was the portion size that came out, the hot stone bibimbap(beef) was $19 and honestly there was not much beef along side the small portion in my opinion. Nonetheless, this place is worth a try!",real
Haludam,hot stone bibimbap,real
Haludam,menu,real
Haludam,"absolutely delicious food and great service. The ambience inside is so warming and inviting. The food is absolutely delicious and just the best, I'm so appreciative of having a Korean restaurant in the Breton village area to eat at now  also on our second visit they offered us hot barely tea after our meal which was so sweet and nice!!",real
Haludam,"Delicious food, very friendly staff and VERY clean! Everything was cooked perfectly and we weren't waiting over expected times for food. The ribs were perfect as was the bulgogi and the gyozo.",real
Pho Anh Trang Restaurant,"Great little place. I ordered vegetarian pho everyone there was kind food was served hot and fast. 

Definitely a place I will return!",real
Pho Anh Trang Restaurant,See all photos from Julie E. for Pho Anh Trang Restaurant,real
Pho Anh Trang Restaurant,"This place definitely feels like a local spot. The service was friendly and efficient.  The food came out at different speeds but that was okay. We were a table of four and we ordered quite a bit of food. My spring rolls with shrimp were very good.  Nice and plump with a great dipping sauce.  

You get a hot and sour soup or egg drop, plus an egg roll with an  entree purchase. 

The shrimp toast was dense and tasted like a cafeteria fish stick. Not that it was bad but was not what I was expecting.  

Everyone else enjoyed their meals.  It was flavorful  and the portions were good for the price.  I would highly recommend this place.",real
Pho Anh Trang Restaurant,Interesting,real
Pho Anh Trang Restaurant,Dinner!,real
Pho Anh Trang Restaurant,"Best Vietnamese Food in America--Period.

Pho Anh Trang has been my go-to Vietnamese restaurant since 2014. I've returned many times--2016, 2018, 2021--and every visit reminds me why this place stands out. The food is consistently phenomenal, the service is warm and welcoming, and the atmosphere feels like home.

Their pho is outstanding--deep, rich broth with perfect cuts of meat, and their spring rolls and bún thịt nướng chả giò never miss. But what truly sets Pho Anh Trang apart is their full spectrum of offerings: desserts like chè ba màu, bánh bò nướng, and refreshing drinks like pennywort juice and traditional Vietnamese coffee. It's rare to find a place that delivers on both savory and sweet this well.

The service has always been excellent, but one experience really stood out. When I brought someone new to Vietnamese cuisine here, the owner was incredibly gracious and took time to help guide us through the dishes. That kind of thoughtful hospitality speaks volumes.

This isn't just a great Vietnamese restaurant for Michigan--it's one of the best Vietnamese dining experiences in the U.S. If you're within driving distance of Grand Rapids, make the trip. You won't regret it.",real
Pho Anh Trang Restaurant,See all photos from Zhiwei T. for Pho Anh Trang Restaurant,real
Pho Anh Trang Restaurant,"It's been two years since I moved to Austin, TX, and I still find it incredibly difficult to find pho that matches the quality of this place. Just last week, I visited Grand Rapids, MI, and within two hours of landing, I begged my friend to take me to this spot for lunch. The staff is always friendly (they're always open to moving your seat if you ask!), and the pho is reasonably priced (it's ALWAYS half off!).

My favorite item from their menu is their Vietnamese coffee. I've tried countless others in the past - from other pho restaurants to boba shops to coffee houses - but nothing comes close to theirs. They serve it in a glass cup with ice alongside a cup of condensed milk, while hot coffee drips into it. After a few minutes, you're left with one of the best Vietnamese coffees I've ever had.

And let's not forget about the pho itself - it's simply AMAZING! Even though I'm not the biggest pho fan, I always finish every last bit of their bowl. My go-to order is usually the rare beef and beef brisket, but I'm confident all their other pho selections are just as good.

This place has been a staple for me since my college days in Grand Rapids, MI. I'm just grateful that I can always return to it whenever I'm back in town :)",real
Pho Anh Trang Restaurant,rare beef & beef brisket + Vietnamese iced coffee!,real
Pho Anh Trang Restaurant,"The Pho is always half off. It's hilarious until you try it. Then it's hilarious and irresistibly delicious. 

I've had a handful (or bowlful?) of pho's around GR, but this place has to be some of the best. Don't be surprised if there's a little kid running around playing with toys or a tv in the background blasting Vietnamese pop music videos - it's all part of the experience. 

My go-to pho spot, and it should be yours as well.",real
Pho Anh Trang Restaurant,"Visited this viet place while in town, and I was an instant fan. We ordered shrimp toast, bun bo hue, and house pho. Something that I noticed, the soup base for the 2 noodle soups are different, I can't say that about every pho locations. Prices are super reasonable, but portion size tends to be on the lower side, but that's ok, you can try more stuff from their menu!",real
Pho Anh Trang Restaurant,"Pho Anh Trang is hitting on every level. It's one of those places that you never want to leave. It has an old diner feel. Large open space, where you don't feel like you're standing over other people. The noise dampened by well aged booths and signature carpeting. Well broken in, but not dirty by any means, that's how you know you found a special spot. 

The pho broth will warm your soul. The perfect blank canvas to doctor it up with all the chili and fish sauce your heart desires.

I was unfamiliar with shrimp toast, but gave it a try anyway. I suggest you do the same if you haven't. The crunch and richness was a perfect break from the pho. 

Service was great! Very welcoming and attentive. Even packed up leftovers for us.",real
Brunch House,It's a nice atmosphere. Really busy when I went the Food was okay not great but it definitely could have been what I ordered.,real
Brunch House,Menu,real
Brunch House,"Loved the great service!! Had the Lavender Honey Latte, Wonderful!!!  It is very loud in the restaurant. Was very hard to hear each other. They should put something for noise reduction.  Ambiance was cute. Wasn't that expensive of food.",real
Brunch House,"Absolutely incredible food. Very worth the wait. Service was amazing! 

Loved everything we had off the menu.",real
Brunch House,"So here we go. A whole 24 hours later what do I think? The decor was really cute and not nearly as cramped as it could've been if they had decided to squeeze a few more people in. Seats were comfy, lots of noise but all just conversation, surprisingly not overstimulating for someone who hates loud places. Our waitress was amazing, service with a smile and energy, directing my constant compliments to the cooks. 

Let's get to the food. I ordered the Breakfast Poutine (sub. bacon for the garlic mushrooms because I dislike the texture), and an Iced Chai Latte. Not only was the food visually appealing with lots of TLC clearly shown on the plate, but I can confidently say this was one of the best things I've eaten in my life and is now in my top 10. The cooks here CLEARLY love their jobs because everything was beautiful, in looks and taste. Everyone went home happy and with a clean plate. This is my new monthly brunch spot!",real
Brunch House,Breakfast Poutine (sub. Garlic Mushrooms for Bacon),real
Brunch House,"The service and food are amazing.  They also have great bloody Mary's, loaded with pickles, celery, cheese, and bacon.
This is a very busy place, use the waitlist ahead of time so the wait in person is not long.
My only negative is that it is way too loud!  They really need to add noise dampeners to improve the experience!!!",real
Brunch House,Bacon scramble with sourdough,real
